"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT08"
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-31","11.18","0.00","75","83","70","   70","   50","18.1","25.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-01","5.59","0.09","74","79","66","   90","   80","21.0","25.1","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-02","7.38","0.09","69","86","61","  160","  160","16.1","23.0","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-03","13.65","0.55","74","75","67","  260","  250","36.0","42.9","    1",,"    1"
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-04","9.62","0.00","69","75","61","  320","  350","21.0","27.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-05","5.59","0.00","68","77","60","  290","  340","14.1","19.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-06","6.26","0.00","69","80","61","  240","  220","18.1","23.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-07","5.14","0.00","70","79","60","  190","  190","10.1","16.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-08","6.93","0.06","71","81","62","  320","  320","25.1","32.0","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-09","9.40","0.00","71","78","65","   20","   10","21.0","30.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-10","7.83","0.00","70","80","60","   70","   80","17.0","23.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-11","6.04","0.00","71","82","62","   70","   80","14.1","19.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-12","6.93","0.01","74","81","67","  100","  100","16.1","19.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-13","7.61","0.00","76","83","69","   50","  120","21.0","25.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-14","4.47","0.00","76","82","71","  340","  200","12.1","16.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-15","5.14","0.04","75","82","70","  210","  100","14.1","23.0","    1",,"    1"
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-16","5.82","0.00","75","82","69","  220","  210","14.1","16.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-17","8.05","0.00","76","82","70","   70","   60","19.9","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-18","9.17","0.09","76","83","70","   80","   60","21.9","28.0","    1","    1",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-19","8.95","0.30","75","81","71","   60","   70","21.0","23.9",,,"    1"
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-20","11.41","0.00","76","83","72","   60","   80","21.0","28.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-21","9.62","0.00","77","84","71","   60","   80","21.0","25.9","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-22","12.30","0.00","77","85","71","   60","   70","23.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-23","12.53","0.00","77","82","71","   70","   80","21.9","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-24","15.21","0.00","77","84","73","   60","   60","25.9","35.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-25","17.00","0.00","77","84","72","   70","   60","30.0","38.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-26","17.67","0.00","77","84","73","   80","   70","25.9","36.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-27","14.09","0.30","75","80","70","   60","   60","25.1","32.0","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-02-28","16.55","0.01","75","82","71","   60","   70","30.0","36.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-01","16.11","0.01","74","81","71","   70","   70","30.0","36.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-02","16.78","0.02","74","82","69","   50","   70","28.0","40.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-03","10.51","0.12","74","79","67","   50","   50","21.9","29.1","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-04","7.38","0.00","71","79","64","   70","   40","19.9","25.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-05","8.95","0.33","71","77","65","   40","   30","19.9","25.1","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-06","14.32","0.04","71","79","67","   60","   50","25.1","31.1","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-07","12.97","0.00","75","84","70","   70","   50","23.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-08","10.07","0.72","75","80","70","   60","   60","23.0","30.0","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-09","4.25","0.51","72","79","68","  130","  110","14.1","18.1","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-10","8.05","1.03","71","78","64","  120","  120","19.9","23.9","    1","    1",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-11","4.70","0.37","70","77","63","  330","  200","13.0","15.0","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-12","10.74","0.48","72","79","67","  210","  210","23.9","32.0","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-13","6.71","0.03","71","77","66","   30","   50","17.0","23.0","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-14","5.37","0.00","71","77","66","  210","  210","13.0","15.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-15","6.71","0.02","72","80","66","  130","  140","21.0","25.9","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-16","7.61","0.01","72","80","68","   60","   60","21.9","27.1","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-17","13.20","0.00","73","79","69","   40","   60","29.1","38.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-18","11.86","0.00","72","75","67","   60","   80","25.1","32.0","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-19","13.42","0.00","72","81","69","   70","   80","25.1","33.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-20","17.67","0.03","74","81","69","   70","   60","28.0","36.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-21","16.55","0.01","73","80","67","   50","   50","25.9","36.0","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-22","11.41","0.00","75","83","70","   50","   70","23.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-23","6.71","0.20","74","80","67","  160","  160","17.0","23.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-24","12.53","0.01","76","81","73","  160","  160","19.9","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-25","8.28","0.27","76","81","70","  260","  160","17.0","21.9","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-26","6.26","0.00","76","85","69","   70","   20","17.0","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-27","13.42","0.00","78","85","71","   60","   90","21.9","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-28","12.97","0.00","76","81","72","   70","   60","21.0","28.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-29","10.07","0.00","76","84","72","   80","   80","21.9","27.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-30","10.29","0.00","77","84","70","   70","   70","21.9","25.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-03-31","9.40","0.00","76","84","70","   40","   40","21.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-01","9.84","0.00","77","84","72","   50","   40","21.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-02","9.17","0.00","76","82","71","   70","   60","18.1","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-03","12.30","0.00","75","82","70","   70","   50","23.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-04","13.20","0.00","74","80","69","   60","   50","25.1","32.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-05","15.88","0.00","75","82","71","   50","   40","28.0","36.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-06","14.32","0.00","75","81","70","   50","   50","25.1","33.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-07","12.30","0.00","73","80","68","   60","   70","21.9","28.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-08","11.41","0.00","74","81","69","   60","   60","21.9","31.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-09","8.72","0.00","74","81","66","   50","   30","21.0","28.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-10","6.71","0.00","73","80","67","  230",,"13.0",,,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-11","6.71","0.32","72","79","67","   40","   40","17.0","21.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-12","6.71","0.00","72","83","64","   30","   40","17.0","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-13","9.62","0.00","75","83","67","   20","   20","19.9","27.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-14","9.40","0.00","74","84","66","   40","   20","19.9","25.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-15","9.40","0.00","76","84","68","   50","   50","21.9","27.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-16","6.04","0.00","74","80","66","  230","  220","12.1","17.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-17","8.95","0.00","74","83","68","   50","   40","18.1","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-18","9.62","0.00","76","85","68","   60","   60","21.0","27.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-19","4.47","0.00","77","85","69","  210","  220","12.1","15.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-20","4.92","0.00","78","84","71","  240","  230","17.0","21.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-21","6.93","0.00","77","88","70","   40","   30","15.0","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-22","10.51","0.00","79","86","73","   60","   60","19.9","25.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-23","12.97","0.00","78","84","73","   50","   40","23.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-24","14.09","0.00","78","85","73","   70","   60","25.9","31.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-25","12.53","0.00","77","85","71","   80","   80","23.9","30.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-26","7.61","0.00","77","83","73","  220","  220","14.1","17.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-27","8.50","0.00","77","84","71","  240","  210","18.1","21.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-28","5.82","0.12","78","82","70","   80","  160","14.1","18.1","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-29","9.17","0.00","75","86","71","   50","   30","16.1","21.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-04-30","11.63","0.00","77","85","73","   70","   60","23.0","28.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-01","13.42","0.00","78","86","73","   60","   40","23.9","32.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-02","13.65","0.00","79","86","73","   70","   80","23.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-03","10.07","0.00","79","86","74","   50","   60","21.9","25.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-04","8.72","0.00","78","87","71","   60","   60","18.1","23.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-05","11.63","0.00","79","85","75","   80","   80","25.1","34.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-06","8.05","0.00","78","82","73","   60","   60","19.9","23.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-07","10.07","0.00","77","86","73","   60","   70","21.0","25.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-08","12.30","0.00","79","86","74","   70","   70","21.9","27.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-09","11.18","0.00","78","85","72","   70","   70","23.0","28.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-10","12.53","0.00","79","85","74","   60","   80","23.0","30.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-11","14.32","0.00","78","86","73","   70","   90","23.9","32.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-12","13.87","0.00","78","86","72","   70","   70","23.0","33.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-13","12.53","0.01","78","86","73","   80","   80","21.0","25.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-14","11.41","0.00","77","84","71","   70","   70","23.9","31.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-15","12.30","0.02","77","84","71","   60","   30","23.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-16","12.53","0.00","77","84","73","   80","   80","29.1","33.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-17","14.76","0.00","77","86","73","   60","   70","25.1","35.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-18","14.54","0.00","78","86","74","   50","   40","25.1","33.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-19","13.87","0.00","78","85","73","   50","   60","25.1","32.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-20","14.09","0.00","78","86","73","   80","   70","25.1","33.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-21","12.30","0.00","78","85","72","   80","   80","23.9","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-22","9.40","0.00","79","88","73","   70","   70","18.1","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-23","7.16","0.00","78","86","71","  150","  150","17.0","21.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-24","6.04","0.00","79","85","72","  210","  220","14.1","17.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-25","7.16","0.00","79","84","73","  150","  150","18.1","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-26","8.72","0.00","79","89","73","   90","   80","19.9","25.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-27","10.51","0.00","80","89","73","   70","   60","21.9","25.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-28","9.17","0.00","80","87","74","   40","   60","18.1","23.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-29","6.71","0.00","79","84","71","  150","  140","16.1","19.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-30","5.37","0.00","78","84","72","  200","  210","17.0","21.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-05-31","5.14","0.00","79","86","72","  160","  150","13.0","17.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-01","9.17","0.00","81","90","74","   60","   30","19.9","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-02","11.41","0.00","81","88","76","   70","   60","21.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-03","10.74","0.00","81","88","75","   70","   40","21.9","27.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-04","12.08","0.00","80","88","75","   40","   50","21.9","30.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-05","14.09","0.00","80","87","75","   60","   70","25.1","32.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-06","12.97","0.01","80","87","73","   60","   50","25.1","30.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-07","12.75","0.00","80","88","74","   70","   70","25.1","32.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-08","14.76","0.00","80","87","75","   70","   60","25.9","35.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-09","16.11","0.00","80","87","76","   60","   70","25.1","33.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-10","17.45","0.00","80","87","75","   70","   50","29.1","42.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-11","10.29","0.00","79","85","73","   40","   50","21.0","25.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-12","12.30","0.00","79","87","73","   40","   40","21.9","27.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-13","11.41","0.00","79","86","74","   50","   50","21.9","32.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-14","11.18","0.00","80","87","75","   70","   80","21.9","28.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-15","10.07","0.00","79","87","74","   70","   70","21.9","28.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-16","10.51","0.00","80","88","74","   60","   50","21.9","30.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-17","11.41","0.04","80","87","74","   60","   80","23.9","30.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-18","11.18","0.00","80","88","74","   80","   80","21.9","27.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-19","7.16","0.00","80","88","73","   50","   20","17.0","25.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-20","9.17","0.00","79","88","72","   50","   20","17.0","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-21","8.95","0.00","79","88","73","   80","   40","21.0","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-22","8.50","0.00","80","88","72","   30","   30","18.1","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-23","8.95","0.01","80","88","73","   70","   70","21.0","25.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-24","8.50","0.00","80","89","73","   70","   50","19.9","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-25","8.72","0.00","79","87","71","  140","  130","19.9","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-26","5.37","0.00","79","87","72","  130","  150","15.0","19.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-27","8.72","0.00","80","90","74","   80","   80","19.9","25.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-28","8.50","0.00","81","89","73","   40","   60","18.1","27.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-29","8.50","0.00","80","89","72","   70","   90","16.1","21.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-06-30","11.63","0.00","82","89","75","   80","   70","23.9","30.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-07-01","14.32","0.00","81","88","76","   80","   80","25.1","32.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-07-02","16.33","0.00","82","87","77","   70","   70","25.1","38.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-07-03","13.87","0.00","79","83","74","   60","   70","25.1","31.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-07-04","11.63","0.02","79","85","74","   50","   50","23.0","30.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-07-05","12.97","0.00","79","88","74","   60","   60","23.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-07-06","11.18","0.01","81","88","74","   70","   40","23.0","33.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-07-07","10.51","0.02","79","88","72","   50","   50","21.0","27.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-07-08","8.95","0.00","80","88","73","   60","   70","19.9","23.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-07-09","12.30","0.00","81","89","75","   70","   70","21.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-07-10","11.41","0.00","81","89","75","   60","   50","23.0","27.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-07-11","13.42","0.00","81","87","76","   70","   70","23.0","32.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-07-12","9.84","0.01","79","88","73","   60","   70","21.0","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-07-13","11.86","0.00","81","89","76","   80","   50","21.0","25.9",,,
