"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-05",,"49","27"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-06",,"52","32"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-07",,"32","20"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-08",,"37","13"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-09",,"34","27"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-10",,"28","18"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-11",,"32","14"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-12",,"18","11"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-13",,"36","12"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-14",,"34","18"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-15",,"51","31"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-16",,"63","32"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-17",,"58","38"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-18",,"39","33"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-19",,"39","32"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-20",,"57","29"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-21",,"40","27"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-22",,"43","36"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-23",,"42","35"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022-03-24",,"36","34"
